average_user_rating,average_user_rating_for_current_version,file_size_bytes,is_game_center_enabled,price,primary_genre_id,user_rating_count
4.78691,4.78691,266551296,1,0.0,6014,248869
4.70505,4.70505,242188288,1,0.0,6014,1004074
4.66076,4.66076,231710720,0,0.0,6014,210747
4.73958,4.73958,114019328,1,0.0,6014,10222
4.86158,4.86158,317377536,0,0.0,6014,169526
4.47115,4.47115,220188672,1,0.0,6014,251975
4.4779,4.4779,196730880,0,0.0,6014,466489
4.61958,4.61958,184482816,0,0.0,6014,421057
4.89222,4.89222,475240448,0,0.0,6014,565156
4.70303,4.70303,176590848,1,0.0,6014,421237
4.74244,4.74244,284224512,0,0.0,6014,77645
4.45247,4.45247,257894400,1,0.0,6014,667172
3.73809,3.73809,253405184,1,0.0,6014,69441
4.2069,4.2069,2040265728,0,0.0,6014,29
4.74935,4.74935,351251456,1,0.0,6014,2952602
4.59869,4.59869,306223104,0,0.0,6014,314968
4.50582,4.50582,286328832,0,0.0,6014,230520
4.85804,4.85804,251598848,0,0.0,6014,57657
4.65578,4.65578,174603264,0,0.0,6014,61356
4.76051,4.76051,644431872,1,0.0,6014,354203
4.59312,4.59312,324914176,0,0.0,6014,76990
4.35046,4.35046,3829879808,0,0.0,6014,4671
4.62988,4.62988,276277248,0,0.0,6014,221696
4.34686,4.34686,145001472,0,0.0,6014,10621
4.37599,4.37599,347734016,0,0.0,6014,156126
0.0,0.0,95367168,0,0.0,6014,0
4.76158,4.76158,2463332352,1,0.0,6014,1372921
4.71627,4.71627,287987712,1,0.0,6014,188893
4.83263,4.83263,204679168,0,0.0,6014,1446
4.7569,4.7569,259974144,0,0.0,6014,21378
4.35084,4.35084,3107722240,1,0.0,6014,503487
4.77806,4.77806,145072128,0,0.0,6014,73536
4.85724,4.85724,229565440,0,0.0,6014,31488
4.74526,4.74526,403902464,0,0.0,6014,74920
4.74678,4.74678,1130496000,0,0.0,6014,104102
4.66205,4.66205,349632512,0,0.0,6014,125054
4.75622,4.75622,163332096,0,0.0,6014,1608726
4.52186,4.52186,640858112,0,0.0,6014,2585
4.71297,4.71297,1218766848,0,0.0,6014,283538
4.6615,4.6615,138351616,1,0.0,6014,1184691
4.32193,4.32193,2892450816,1,0.0,6014,286583
4.72481,4.72481,229383168,0,0.0,6014,2402
4.564,4.564,473694208,1,0.0,6014,236309
4.74674,4.74674,290686976,1,0.0,6014,244665
4.78468,4.78468,24921088,0,0.0,6014,58388
4.60581,4.60581,341729280,0,0.0,6014,62723
3.93659,3.93659,1479545856,0,0.0,6014,259913
4.61071,4.61071,490925056,0,0.0,6014,48593
4.66819,4.66819,333213696,0,0.0,6014,34578
4.59222,4.59222,335964160,0,0.0,6014,110046
4.75338,4.75338,2803025920,0,0.0,6014,646963
4.61042,4.61042,248593408,0,0.0,6014,255649
4.66427,4.66427,280521728,1,0.0,6014,1331668
4.65843,4.65843,397021184,1,0.0,6014,249731
4.65662,4.65662,453611520,0,0.0,6014,127548
4.65641,4.65641,3664261120,1,0.0,6014,40231
4.66909,4.66909,710135808,1,0.0,6014,7969
4.7394,4.7394,160282624,0,0.0,6014,3888934
4.62398,4.62398,44351488,0,0.0,6014,120185
4.85949,4.85949,200507392,0,0.0,6014,6363
4.72213,4.72213,342203392,1,0.0,6014,550361
4.88293,4.88293,965108736,1,0.0,6014,319344
4.53199,4.53199,198251520,0,0.0,6014,7925
4.71666,4.71666,400368640,0,0.0,6014,691416
4.60432,4.60432,243150848,0,0.0,6014,3475
4.59581,4.59581,195326976,1,0.0,6014,476023
4.81468,4.81468,191522816,0,0.0,6014,34504
4.34719,4.34719,177169408,1,0.0,6014,41795
4.42673,4.42673,638638080,1,0.0,6014,93483
4.80051,4.80051,249973760,0,0.0,6014,2802194
4.41458,4.41458,416979968,0,0.0,6014,274367
3.78354,3.78354,283710464,0,0.0,6014,328
4.55661,4.55661,2219650048,1,0.0,6014,336038
4.36364,4.36364,333560832,0,0.0,6014,87340
4.64655,4.64655,433762304,0,0.0,6014,288349
4.79636,4.79636,372580352,1,0.0,6014,20094
4.55561,4.55561,269911040,0,0.0,6014,75042
4.67096,4.67096,268194816,0,0.0,6014,41945
4.38532,4.38532,344483840,0,0.0,6014,172535
4.5793,4.5793,378742784,1,0.0,6014,21816
4.49899,4.49899,376754176,0,0.0,6014,366314
4.7394,4.7394,160282624,0,0.0,6014,3888934
4.62398,4.62398,44351488,0,0.0,6014,120185
4.85949,4.85949,200507392,0,0.0,6014,6363
4.72213,4.72213,342203392,1,0.0,6014,550361
4.88293,4.88293,965108736,1,0.0,6014,319344
4.34858,4.34858,217466880,0,0.0,6014,248255
4.90835,4.90835,312977408,0,0.0,6014,33563
3.51942,3.51942,170627072,0,0.0,6014,7774
4.46764,4.46764,164593664,0,0.0,6014,28032
4.17969,4.17969,1114997760,0,0.0,6014,13262
4.53199,4.53199,198251520,0,0.0,6014,7925
4.71666,4.71666,400368640,0,0.0,6014,691416
4.59581,4.59581,195326976,1,0.0,6014,476023
4.81468,4.81468,191522816,0,0.0,6014,34504
4.34719,4.34719,177169408,1,0.0,6014,41795
4.42673,4.42673,638638080,1,0.0,6014,93483
4.80051,4.80051,249973760,0,0.0,6014,2802194
4.41458,4.41458,416979968,0,0.0,6014,274367
3.78354,3.78354,283710464,0,0.0,6014,328
4.53031,4.53031,769283072,1,0.0,6014,71702
4.55661,4.55661,2219650048,1,0.0,6014,336038
4.67687,4.67687,636035072,1,0.0,6014,374043
4.79636,4.79636,372580352,1,0.0,6014,20094
4.69685,4.69685,261325824,0,0.0,6014,19172
4.72146,4.72146,365704192,0,0.0,6014,104054
4.70614,4.70614,1928303616,1,0.0,6014,605297
4.55561,4.55561,269911040,0,0.0,6014,75042
4.67096,4.67096,268194816,0,0.0,6014,41945
4.38532,4.38532,344483840,0,0.0,6014,172535
4.92325,4.92325,146664448,0,0.0,6014,9251
4.57791,4.57791,364262400,0,0.0,6014,114882
4.45678,4.45678,151165952,0,0.0,6014,50142
4.5793,4.5793,378742784,1,0.0,6014,21816
4.49899,4.49899,376754176,0,0.0,6014,366314
4.59508,4.59508,248997888,0,0.0,6014,19663
4.85871,4.85871,755813376,1,0.0,6014,50160
4.66675,4.66675,237308928,0,0.0,6014,4216
4.70446,4.70446,338360320,1,0.0,6014,301675
4.48471,4.48471,237937664,0,0.0,6014,42448
4.59536,4.59536,299543552,0,0.0,6014,165370
4.89196,4.89196,408351744,0,0.0,6014,143642
4.44034,4.44034,207042560,0,0.0,6014,11325
4.80638,4.80638,266653696,0,0.0,6014,37791
4.69684,4.69684,202080256,0,0.0,6014,747501
3.94071,3.94071,217648128,1,0.0,6014,42787
4.85337,4.85337,1279828992,1,0.0,6014,752980
4.88284,4.88284,169531392,0,0.0,6014,23190
4.54568,4.54568,2012945408,0,0.0,6014,383
4.59947,4.59947,3563843584,1,0.0,6014,27918
4.49106,4.49106,865970176,0,0.0,6014,1232
4.34497,4.34497,1349620736,0,0.0,6014,89830
4.24083,4.24083,463626240,1,0.0,6014,24046
4.71035,4.71035,357779456,0,0.0,6014,18785
4.56852,4.56852,430727168,0,0.0,6014,74038
4.72405,4.72405,298980352,0,0.0,6014,386593
4.82337,4.82337,162124800,1,0.0,6014,707272
4.56248,4.56248,494500864,0,0.0,6014,280147
4.49996,4.49996,240638976,1,0.0,6014,465607
4.14562,4.14562,276460544,0,0.0,6014,2431
4.72032,4.72032,433093632,0,0.0,6014,43494
4.57569,4.57569,382776320,0,0.0,6014,112584
4.73203,4.73203,130743296,1,0.0,6014,248420
4.79033,4.79033,211951616,0,0.0,6014,38854
3.98498,3.98498,26095616,0,0.0,6014,220833
4.57414,4.57414,184979456,0,0.0,6014,374290
4.54212,4.54212,180584448,0,0.0,6014,43990
4.43159,4.43159,424357888,0,0.0,6014,93318
4.3989,4.3989,193022976,0,0.0,6014,64404
4.66812,4.66812,700018688,0,0.0,6014,591437
4.41605,4.41605,176978944,0,0.0,6014,30667
4.67865,4.67865,45467648,0,0.0,6014,2614
4.34884,4.34884,262817792,1,0.0,6014,782226
4.50656,4.50656,221087744,0,0.0,6014,501594
4.65852,4.65852,222320640,0,0.0,6014,28412
4.23756,4.23756,1230920704,1,0.0,6014,24011
4.74759,4.74759,1045825536,1,0.0,6014,101046
4.53411,4.53411,322314240,0,0.0,6014,15420
4.45251,4.45251,137755648,1,0.0,6014,6128
4.42568,4.42568,350014464,0,0.0,6014,13200
4.0866,4.0866,983680000,0,0.0,6014,1582
4.79549,4.79549,525242368,0,0.0,6014,36909
4.57764,4.57764,186850304,0,0.0,6014,32946
4.3655,4.3655,332726272,0,0.0,6014,249690
4.58826,4.58826,214221824,0,0.0,6014,2294792
4.49679,4.49679,330516480,0,0.0,6014,360780
4.82348,4.82348,556993536,0,0.0,6014,28513
4.59651,4.59651,169499648,1,0.0,6014,57870
4.88729,4.88729,249123840,0,0.0,6014,141110
4.61049,4.61049,343288832,0,0.0,6014,87435
4.77206,4.77206,3243291648,1,0.0,6014,977946
4.81193,4.81193,239586304,0,0.0,6014,23534
4.71088,4.71088,131918848,0,0.0,6014,190944
4.43313,4.43313,1568589824,1,0.0,6014,46852
4.60043,4.60043,267237376,0,0.0,6014,68608
4.73719,4.73719,317115392,1,0.0,6014,90770
4.21514,4.21514,1084275712,0,0.0,6014,52514
4.66321,4.66321,276051968,1,0.0,6014,151014
4.59471,4.59471,202637312,0,0.0,6014,511413
4.67454,4.67454,707003392,0,0.0,6014,10674
4.27121,4.27121,214433792,1,0.0,6014,11061
4.04244,4.04244,172136448,1,0.0,6014,8317
4.72208,4.72208,207944704,0,0.0,6014,111831
4.92297,4.92297,606408704,1,0.0,6014,230267
4.28017,4.28017,285097984,0,0.0,6014,464
4.52904,4.52904,232514560,0,0.0,6014,3977
4.61892,4.61892,1610270720,0,0.0,6014,21195
0.0,0.0,341595136,0,0.0,6014,0
4.50298,4.50298,134063104,0,0.0,6014,60832
4.43783,4.43783,129567744,0,0.0,6014,89121
4.7542,4.7542,1034369024,0,0.0,6014,121246
4.65779,4.65779,3103031296,1,0.0,6014,175374
4.63956,4.63956,217501696,0,0.0,6014,2877
4.57059,4.57059,596939776,0,0.0,6014,429201
4.87295,4.87295,241002496,0,0.0,6014,78597
4.72679,4.72679,111636480,0,0.0,6014,101438
4.67778,4.67778,252056576,0,0.0,6014,180255
4.00179,4.00179,1310837760,0,0.0,6014,30786
4.4524,4.4524,252563456,1,0.0,6014,242472
4.50038,4.50038,1842068480,1,0.0,6014,163485
4.37906,4.37906,3755137024,0,0.0,6014,3725
4.70101,4.70101,271993856,1,0.0,6014,250249
4.60358,4.60358,254123008,0,0.0,6014,5199
4.7683,4.7683,323185664,1,0.0,6014,107770
4.67309,4.67309,209207296,0,0.0,6014,355793
4.80026,4.80026,193828864,0,0.0,6014,3099
4.71051,4.71051,240519168,0,0.0,6014,461854
4.62525,4.62525,258998272,1,0.0,6014,480536
4.6749,4.6749,216248320,1,0.0,6014,179132
4.56961,4.56961,332632064,0,0.0,6014,28107
4.23589,4.23589,435789824,0,0.0,6014,16669
4.5476,4.5476,1406671872,1,0.0,6014,113641
4.85045,4.85045,492142592,0,0.0,6014,649799
4.86516,4.86516,343160832,0,0.0,6014,17168
4.95526,4.95526,164562944,0,0.0,6014,61865
4.78594,4.78594,219866112,0,0.0,6014,96713
4.58388,4.58388,1309889536,0,0.0,6014,33668
4.76072,4.76072,458762240,0,0.0,6014,136935
4.73273,4.73273,273342464,0,0.0,6014,26026
4.62263,4.62263,289510400,0,0.0,6014,220838
4.84937,4.84937,151200768,1,0.0,6014,9208
4.73635,4.73635,460496896,0,0.0,6014,38817
4.57015,4.57015,757131264,0,0.0,6014,1347
4.65001,4.65001,65652736,0,0.0,6014,10575
4.49613,4.49613,275780608,0,0.0,6014,74259
4.77687,4.77687,387028992,1,0.0,6014,687009
4.79364,4.79364,97899520,0,0.0,6014,88841
4.70068,4.70068,235927552,0,0.0,6014,278584
4.6615,4.6615,221063168,0,0.0,6014,86394
4.52733,4.52733,255140864,0,0.0,6014,35012
4.63676,4.63676,432654336,0,0.0,6014,27786
4.82544,4.82544,189463552,0,0.0,6014,16143
4.69156,4.69156,296023040,0,0.0,6014,48946
4.75474,4.75474,33807360,1,0.0,6014,90407
4.01653,4.01653,357640192,0,0.0,6014,242
4.66193,4.66193,245933056,0,0.0,6014,28340
4.27453,4.27453,373878784,0,0.0,6014,1060
4.6935,4.6935,729950208,0,0.0,6014,18163
4.89943,4.89943,264745984,0,0.0,6014,136117
4.49726,4.49726,1503665152,0,0.0,6014,162577
4.81829,4.81829,212120576,0,0.0,6014,36123
4.85423,4.85423,209376256,1,0.0,6014,423157
4.63021,4.63021,334036992,0,0.0,6014,78268
4.58793,4.58793,321652736,1,0.0,6014,255556
3.78619,3.78619,325499904,0,0.0,6014,449
4.73911,4.73911,354118656,0,0.0,6014,2112
3.25441,3.25441,55849984,0,0.0,6014,2209
3.92893,3.92893,1738934272,1,0.0,6014,120316
4.51987,4.51987,330479616,0,0.0,6014,281434
4.92494,4.92494,211180544,0,0.0,6014,22741
4.65132,4.65132,156400640,1,0.0,6014,568503
4.68065,4.68065,205279232,0,0.0,6014,12638
4.76117,4.76117,653614080,1,0.0,6014,582
4.61444,4.61444,491943936,0,0.0,6014,10499
4.83283,4.83283,351628288,0,0.0,6014,455400
4.6363,4.6363,256303104,0,0.0,6014,1383
4.54282,4.54282,433161216,0,0.0,6014,155408
4.74496,4.74496,328538112,0,0.0,6014,45217
4.71508,4.71508,395863040,0,0.0,6014,2459678
4.58976,4.58976,297856000,0,0.0,6014,489463
4.80546,4.80546,119040000,1,0.0,6014,80333
4.76269,4.76269,292659200,1,0.0,6014,249318
4.71643,4.71643,470799360,1,0.0,6014,232924
4.62092,4.62092,514429952,0,0.0,6014,186765
4.66603,4.66603,327089152,0,0.0,6014,2599
3.90098,3.90098,316973056,0,0.0,6014,3858
4.80736,4.80736,431085568,1,0.0,6014,116623
4.9,4.9,714328064,0,0.0,6014,110
4.76137,4.76137,119911424,0,0.0,6014,27629
4.62406,4.62406,175690752,1,0.0,6014,74628
4.2375,4.2375,232548352,0,0.0,6014,160
4.04079,4.04079,254987264,0,0.0,6014,6571
4.91575,4.91575,506783744,0,0.0,6014,68961
4.53585,4.53585,97025024,0,0.0,6014,229253
4.69374,4.69374,758115328,0,0.0,6014,122563
4.59917,4.59917,2264999936,0,0.0,6014,402459
4.53287,4.53287,241128448,0,0.0,6014,258983
4.72938,4.72938,278365184,0,0.0,6014,31350
4.72093,4.72093,181633024,0,0.0,6014,661110
4.4583,4.4583,1021456384,0,0.0,6014,22854
4.41004,4.41004,88561664,1,0.0,6014,11077
4.74188,4.74188,1900057600,0,0.0,6014,1755
4.4206,4.4206,247189504,1,0.0,6014,59218
4.18419,4.18419,272861184,0,0.0,6014,14442
4.67778,4.67778,252056576,0,0.0,6014,180255
4.00179,4.00179,1310837760,0,0.0,6014,30786
4.4524,4.4524,252563456,1,0.0,6014,242472
4.21186,4.21186,284272640,0,0.0,6014,118
4.89852,4.89852,48278528,1,0.0,6014,43209
4.66404,4.66404,193314816,0,0.0,6014,490050
4.80588,4.80588,260995072,0,0.0,6014,16248
4.15352,4.15352,1470642176,0,0.0,6014,1166
4.67713,4.67713,120868864,0,0.0,6014,20494
3.7753,3.7753,2815311872,0,0.0,6014,672
4.50038,4.50038,1842068480,1,0.0,6014,163485
4.53146,4.53146,246103040,0,0.0,6014,160906
4.74174,4.74174,184519680,0,0.0,6014,4879
4.68212,4.68212,135901184,0,0.0,6014,768779
4.70101,4.70101,271993856,1,0.0,6014,250249
4.60013,4.60013,176006144,0,0.0,6014,32588
4.67309,4.67309,209207296,0,0.0,6014,355793
3.43966,3.43966,59159552,0,0.0,6014,464
4.7619,4.7619,244741120,0,0.0,6014,10466
4.7514,4.7514,105862144,0,0.0,6014,127123
4.89449,4.89449,285637632,1,0.0,6014,34509
4.08854,4.08854,239813632,0,0.0,6014,847
4.83392,4.83392,408506368,0,0.0,6014,376343
4.77541,4.77541,169795584,0,0.0,6014,10339
4.71051,4.71051,240519168,0,0.0,6014,461854
4.40765,4.40765,220140544,0,0.0,6014,106993
4.44655,4.44655,225201152,0,0.0,6014,61478
4.65404,4.65404,245801984,0,0.0,6014,277446
4.20455,4.20455,159009792,0,0.0,6014,176
4.72846,4.72846,721025024,1,0.0,6014,530061
4.82111,4.82111,250635264,0,0.0,6014,6798
4.77698,4.77698,330903552,0,0.0,6014,4484
4.26071,4.26071,49970176,1,0.0,6014,794
4.6749,4.6749,216248320,1,0.0,6014,179132
4.60472,4.60472,745519104,0,0.0,6014,21415
4.56961,4.56961,332632064,0,0.0,6014,28107
4.57829,4.57829,253980672,0,0.0,6014,7830
4.23589,4.23589,435789824,0,0.0,6014,16669
4.8071,4.8071,280623104,1,0.0,6014,193082
4.59905,4.59905,288245760,0,0.0,6014,201840
4.80711,4.80711,225119232,0,0.0,6014,172554
4.5476,4.5476,1406671872,1,0.0,6014,113641
4.68111,4.68111,339689472,0,0.0,6014,107111
4.50419,4.50419,324782080,1,0.0,6014,77744
4.63353,4.63353,1366973440,0,0.0,6014,49153
4.86516,4.86516,343160832,0,0.0,6014,17168
4.78594,4.78594,219866112,0,0.0,6014,96713
4.67204,4.67204,368005120,1,0.0,6014,372
4.42169,4.42169,1990733824,0,0.0,6014,7266
4.86233,4.86233,214745088,0,0.0,6014,24944
4.61136,4.61136,381142016,0,0.0,6014,2483
4.73273,4.73273,273342464,0,0.0,6014,26026
4.62263,4.62263,289510400,0,0.0,6014,220838
4.84937,4.84937,151200768,1,0.0,6014,9208
4.82756,4.82756,122656768,0,0.0,6014,9099
0.0,0.0,2216358912,0,0.0,6014,0
4.66506,4.66506,194690048,0,0.0,6014,339127
4.57015,4.57015,757131264,0,0.0,6014,1347
4.65001,4.65001,65652736,0,0.0,6014,10575
4.6582,4.6582,417695744,0,0.0,6014,86539
4.70397,4.70397,524976128,0,0.0,6014,2189
4.70819,4.70819,391605248,0,0.0,6014,79765
4.65772,4.65772,283912192,0,0.0,6014,34533
4.77687,4.77687,387028992,1,0.0,6014,687009
4.26976,4.26976,135779328,0,0.0,6014,21886
4.66905,4.66905,278850560,0,0.0,6014,17740
4.57885,4.57885,229039104,0,0.0,6014,9377
3.99237,3.99237,380096512,0,0.0,6014,131
4.732,4.732,180696064,0,0.0,6014,2056
4.47279,4.47279,235936768,1,0.0,6014,15988
4.49434,4.49434,283584512,0,0.0,6014,218085
4.79364,4.79364,97899520,0,0.0,6014,88841
4.52733,4.52733,255140864,0,0.0,6014,35012
4.5563,4.5563,353662976,0,0.0,6014,79580
4.73541,4.73541,281530368,0,0.0,6014,54412
4.69156,4.69156,296023040,0,0.0,6014,48946
4.75474,4.75474,33807360,1,0.0,6014,90407
4.89454,4.89454,341901312,1,0.0,6014,21193
4.72982,4.72982,395286528,1,0.0,6014,719146
4.6351,4.6351,307738624,0,0.0,6014,53914
4.8394,4.8394,444665856,1,0.0,6014,121174
4.69071,4.69071,400195584,0,0.0,6014,96599
4.68379,4.68379,431004672,0,0.0,6014,72914
4.76047,4.76047,415235072,0,0.0,6014,57689
4.65827,4.65827,210940928,0,0.0,6014,183066
4.50725,4.50725,319951872,1,0.0,6014,469056
4.80673,4.80673,293107712,0,0.0,6014,99492
4.53176,4.53176,421221376,1,0.0,6014,4015
4.36498,4.36498,427912192,1,0.0,6014,321309
4.54473,4.54473,224016384,1,0.0,6014,11760
